SN    USVID    CurTime    simTime    AVOID_Dis    OBS_X    OBS_Y    OBS_R     OBS_V      OBS_Yaw   
268  208  2025-06-05 20-36-20  14544  2428.64  140432  0  1872  0  0
269  208  2025-06-05 20-36-20  14545.6  2439.06  140432  0  1872  0  0
270  208  2025-06-05 20-36-20  14547.2  2449.55  140432  0  1872  0  0
271  208  2025-06-05 20-36-20  14548.8  2460.13  140432  0  1872  0  0
272  208  2025-06-05 20-36-20  14550.4  2470.79  140432  0  1872  0  0
273  208  2025-06-05 20-36-20  14552  2481.53  140432  0  1872  0  0
274  208  2025-06-05 20-36-20  14553.6  2492.34  140432  0  1872  0  0
275  208  2025-06-05 20-36-20  14555.2  2503.22  140432  0  1872  0  0
276  208  2025-06-05 20-36-20  14556.8  2514.18  140432  0  1872  0  0
277  208  2025-06-05 20-36-20  14558.4  2525.2  140432  0  1872  0  0
278  208  2025-06-05 20-36-20  14560  2536.29  140432  0  1872  0  0
279  208  2025-06-05 20-36-20  14561.6  2547.45  140432  0  1872  0  0
280  208  2025-06-05 20-36-20  14563.2  2558.67  140432  0  1872  0  0
281  208  2025-06-05 20-36-20  14564.8  2569.95  140432  0  1872  0  0
282  208  2025-06-05 20-36-20  14566.4  2581.3  140432  0  1872  0  0
283  208  2025-06-05 20-36-20  14568  2592.7  140432  0  1872  0  0
284  208  2025-06-05 20-36-20  14569.6  2604.16  140432  0  1872  0  0
285  208  2025-06-05 20-36-20  14571.2  2615.68  140432  0  1872  0  0
286  208  2025-06-05 20-36-20  14572.8  2627.25  140432  0  1872  0  0
287  208  2025-06-05 20-36-20  14574.4  2638.88  140432  0  1872  0  0
288  208  2025-06-05 20-36-20  14576  2650.56  140432  0  1872  0  0
289  208  2025-06-05 20-36-20  14577.6  2662.28  140432  0  1872  0  0
290  208  2025-06-05 20-36-20  14662.4  2666.35  143632  0  1872  0  0
291  208  2025-06-05 20-36-20  14664  2653.63  143632  0  1872  0  0
292  208  2025-06-05 20-36-20  14665.6  2640.95  143632  0  1872  0  0
293  208  2025-06-05 20-36-20  14667.2  2628.3  143632  0  1872  0  0
294  208  2025-06-05 20-36-20  14668.8  2615.68  143632  0  1872  0  0
295  208  2025-06-05 20-36-20  14670.4  2603.11  143632  0  1872  0  0
296  208  2025-06-05 20-36-20  14672  2590.57  143632  0  1872  0  0
297  208  2025-06-05 20-36-20  14673.6  2578.07  143632  0  1872  0  0
298  208  2025-06-05 20-36-20  14675.2  2565.61  143632  0  1872  0  0
299  208  2025-06-05 20-36-20  14676.8  2553.19  143632  0  1872  0  0
300  208  2025-06-05 20-36-20  14678.4  2540.81  143632  0  1872  0  0
301  208  2025-06-05 20-36-20  14680  2528.48  143632  0  1872  0  0
302  208  2025-06-05 20-36-20  14681.6  2516.19  143632  0  1872  0  0
303  208  2025-06-05 20-36-20  14683.2  2503.94  143632  0  1872  0  0
304  208  2025-06-05 20-36-20  14684.8  2491.74  143632  0  1872  0  0
305  208  2025-06-05 20-36-20  14686.4  2479.6  143632  0  1872  0  0
306  208  2025-06-05 20-36-20  14688  2467.5  143632  0  1872  0  0
307  208  2025-06-05 20-36-20  14689.6  2455.45  143632  0  1872  0  0
308  208  2025-06-05 20-36-20  14691.2  2443.45  143632  0  1872  0  0
309  208  2025-06-05 20-36-20  14692.8  2431.51  143632  0  1872  0  0
310  208  2025-06-05 20-36-20  14694.4  2419.63  143632  0  1872  0  0
311  208  2025-06-05 20-36-20  14696  2407.8  143632  0  1872  0  0
312  208  2025-06-05 20-36-20  14697.6  2396.03  143632  0  1872  0  0
313  208  2025-06-05 20-36-20  14699.2  2384.32  143632  0  1872  0  0
314  208  2025-06-05 20-36-20  14700.8  2372.67  143632  0  1872  0  0
315  208  2025-06-05 20-36-20  14702.4  2361.09  143632  0  1872  0  0
316  208  2025-06-05 20-36-20  14704  2349.57  143632  0  1872  0  0
317  208  2025-06-05 20-36-20  14705.6  2338.13  143632  0  1872  0  0
318  208  2025-06-05 20-36-20  14707.2  2326.75  143632  0  1872  0  0
319  208  2025-06-05 20-36-20  14708.8  2315.44  143632  0  1872  0  0
320  208  2025-06-05 20-36-20  14710.4  2304.21  143632  0  1872  0  0
321  208  2025-06-05 20-36-20  14712  2293.06  143632  0  1872  0  0
322  208  2025-06-05 20-36-20  14713.6  2281.98  143632  0  1872  0  0
323  208  2025-06-05 20-36-20  14715.2  2270.99  143632  0  1872  0  0
324  208  2025-06-05 20-36-20  14716.8  2260.08  143632  0  1872  0  0
325  208  2025-06-05 20-36-20  14718.4  2249.26  143632  0  1872  0  0
