Step,id,x,y,Vel,Yaw
51,3,113.288,-122.956,8.99138,74.3836
51,4,267.44,119.313,11.0372,112.829
51,5,267.44,-119.313,11.0372,67.1711
51,6,344.033,2.69613e-15,11.0214,90
51,7,541.599,0,8,90
52,1,45.1486,2.76446e-15,11.1085,90
52,2,114.158,122.709,9.04354,105.831
52,3,114.158,-122.709,9.04354,74.1686
52,4,268.461,118.877,11.1085,113.122
52,5,268.461,-118.877,11.1085,66.8785
52,6,345.141,2.76402e-15,11.0886,90
52,7,542.399,0,8,90
53,1,46.2664,2.83291e-15,11.1785,90
53,2,115.032,122.457,9.0957,106.047
53,3,115.032,-122.457,9.0957,73.9525
53,4,269.487,118.433,11.1785,113.409
53,5,269.487,-118.433,11.1785,66.5913
53,6,346.257,2.83232e-15,11.154,90
53,7,543.199,0,8,90
54,1,47.3912,2.90178e-15,11.2473,90
54,2,115.91,122.201,9.14786,106.264
54,3,115.91,-122.201,9.14786,73.7355
54,4,270.517,117.981,11.2473,113.69
54,5,270.517,-117.981,11.2473,66.3096
54,6,347.379,2.901e-15,11.2177,90
54,7,543.999,0,8,90
55,1,48.5226,2.97106e-15,11.3147,90
55,2,116.792,121.94,9.20002,106.483
55,3,116.792,-121.94,9.20002,73.5175
55,4,271.551,117.521,11.3147,113.967
55,5,271.551,-117.521,11.3147,66.0334
55,6,348.507,2.97007e-15,11.2796,90
55,7,544.799,0,8,90
56,1,49.6608,3.04074e-15,11.381,90
56,2,117.679,121.674,9.25218,106.702
56,3,117.679,-121.674,9.25218,73.2985
56,4,272.589,117.054,11.381,114.237
56,5,272.589,-117.054,11.381,65.7627
56,6,349.64,3.0395e-15,11.3399,90
56,7,545.599,0,8,90
57,1,50.8054,3.11083e-15,11.4461,90
57,2,118.569,121.403,9.30434,106.922
57,3,118.569,-121.403,9.30434,73.0784
57,4,273.63,116.579,11.4461,114.503
57,5,273.63,-116.579,11.4461,65.4973
57,6,350.78,3.1093e-15,11.3984,90
57,7,546.399,0,8,90
58,1,51.9564,3.1813e-15,11.51,90
58,2,119.463,121.128,9.3565,107.143
58,3,119.463,-121.128,9.3565,72.8574
58,4,274.676,116.097,11.51,114.763
58,5,274.676,-116.097,11.51,65.2373
58,6,351.926,3.17944e-15,11.4553,90
58,7,547.199,0,8,90
59,1,53.1136,3.25217e-15,11.5728,90
59,2,120.361,120.847,9.40866,107.365
59,3,120.361,-120.847,9.40866,72.6354
59,4,275.724,115.608,11.5728,115.017
59,5,275.724,-115.608,11.5728,64.9826
59,6,353.077,3.24992e-15,11.5106,90
59,7,547.999,0,8,90
60,1,54.2771,3.3234e-15,11.6345,90
60,2,121.263,120.561,9.46082,107.588
60,3,121.263,-120.561,9.46082,72.4123
60,4,276.777,115.111,11.6345,115.267
60,5,276.777,-115.111,11.6345,64.7332
60,6,354.233,3.32072e-15,11.5642,90
60,7,548.799,0,8,90
61,1,55.4466,3.39501e-15,11.695,90
61,2,122.168,120.27,9.51298,107.812
61,3,122.168,-120.27,9.51298,72.1883
61,4,277.832,114.608,11.695,115.511
61,5,277.832,-114.608,11.695,64.4891
61,6,355.395,3.39185e-15,11.6162,90
61,7,549.599,0,8,90
62,1,56.622,3.46699e-15,11.7544,90
62,2,123.078,119.974,9.56514,108.037
62,3,123.078,-119.974,9.56514,71.9633
62,4,278.891,114.097,11.7544,115.75
62,5,278.891,-114.097,11.7544,64.2503
62,6,356.562,3.46329e-15,11.6667,90
62,7,550.399,0,8,90
63,1,57.8033,3.53932e-15,11.8128,90
63,2,123.991,119.672,9.6173,108.263
63,3,123.991,-119.672,9.6173,71.7372
63,4,279.953,113.579,11.8128,115.983
63,5,279.953,-113.579,11.8128,64.0166
63,6,357.733,3.53502e-15,11.7155,90
63,7,551.199,0,8,90
64,1,58.9903,3.612e-15,11.8701,90
64,2,124.908,119.366,9.66946,108.49
64,3,124.908,-119.366,9.66946,71.5102
64,4,281.018,113.055,11.8701,116.212
64,5,281.018,-113.055,11.8701,63.7881
64,6,358.909,3.60705e-15,11.7628,90
64,7,551.999,0,8,90
65,1,60.183,3.68502e-15,11.9264,90
65,2,125.829,119.054,9.72162,108.718
65,3,125.829,-119.054,9.71982,71.2822
65,4,282.085,112.524,11.9264,116.435
65,5,282.085,-112.524,11.9264,63.5648
65,6,360.09,3.67935e-15,11.8086,90
65,7,552.799,0,8,90
66,1,61.3811,3.75839e-15,11.9817,90
66,2,126.753,118.737,9.77378,108.947
66,3,126.753,-118.737,9.76839,71.0532
66,4,283.156,111.987,11.9817,116.653
66,5,283.156,-111.987,11.9817,63.3466
66,6,361.276,3.75193e-15,11.8529,90
66,7,553.599,0,8,90
67,1,62.5847,3.83208e-15,12.036,90
67,2,127.681,118.414,9.82594,109.177
67,3,127.68,-118.414,9.81515,70.8231
67,4,284.23,111.443,12.036,116.867
67,5,284.23,-111.443,12.036,63.1334
67,6,362.465,3.82476e-15,11.8957,90
67,7,554.399,0,8,90
68,1,63.7937,3.90611e-15,12.0893,90
68,2,128.613,118.086,9.8781,109.408
68,3,128.61,-118.087,9.86012,70.5921
68,4,285.306,110.893,12.0893,117.075
68,5,285.306,-110.893,12.0893,62.9253
68,6,363.659,3.89785e-15,11.9371,90
68,7,555.199,0,8,90
69,1,65.0078,3.98045e-15,12.1417,90
69,2,129.548,117.752,9.93026,109.64
69,3,129.542,-117.754,9.90329,70.3601
69,4,286.386,110.336,12.1417,117.278
69,5,286.386,-110.336,12.1417,62.7222
69,6,364.857,3.97119e-15,11.9769,90
69,7,555.999,0,8,90
70,1,66.2272,4.05511e-15,12.1931,90
70,2,130.487,117.412,9.98242,109.873
70,3,130.478,-117.416,9.94465,70.127
70,4,287.467,109.774,12.1931,117.476
70,5,287.467,-109.774,12.1931,62.5241
70,6,366.058,4.04476e-15,12.0154,90
70,7,556.799,0,8,90
71,1,67.4515,4.13008e-15,12.2436,90
71,2,131.429,117.067,10.0346,110.107
71,3,131.415,-117.073,9.98422,69.893
71,4,288.552,109.205,12.2436,117.669
71,5,288.552,-109.205,12.2436,62.3309
71,6,367.263,4.11856e-15,12.0524,90
71,7,557.599,0,8,90
72,1,68.6808,4.20535e-15,12.2931,90
72,2,132.375,116.717,10.0867,110.342
72,3,132.355,-116.724,10.022,69.658
72,4,289.639,108.631,12.2931,117.857
72,5,289.639,-108.631,12.2931,62.1426
72,6,368.472,4.19257e-15,12.088,90
72,7,558.399,0,8,90
73,1,69.915,4.28092e-15,12.3418,90
73,2,133.324,116.36,10.1389,110.578
73,3,133.297,-116.371,10.058,69.422
73,4,290.728,108.05,12.3418,118.041
73,5,290.728,-108.05,12.3418,61.9592
73,6,369.684,4.2668e-15,12.1223,90
73,7,559.199,0,8,90
74,1,71.154,4.35678e-15,12.3896,90
74,2,134.277,115.998,10.1911,110.815
74,3,134.24,-116.012,10.0921,69.1849
74,4,291.82,107.465,12.3896,118.219
74,5,291.82,-107.465,12.3896,61.7807
74,6,370.9,4.34123e-15,12.1552,90
74,7,559.999,0,8,90
75,1,72.3976,4.43293e-15,12.4366,90
75,2,135.233,115.63,10.2432,111.053
75,3,135.185,-115.648,10.1245,68.9469
75,4,292.914,106.873,12.4366,118.393
75,5,292.914,-106.873,12.4366,61.6069
75,6,372.119,4.41584e-15,12.1868,90
75,7,560.799,0,8,90
76,1,73.6459,4.50936e-15,12.4827,90
76,2,136.192,115.256,10.2954,111.292
76,3,136.131,-115.28,10.1551,68.7079
76,4,294.01,106.276,12.4827,118.562
